Key	ko	en	qps-long
message.swim.enter	김씨 입수. 물은 생각보다 차갑고 가방은 생각보다 무겁다.	Mr. Kim enters the water. It is colder—and the bag heavier—than expected.	⟦Mr. Kím éñtérs thé wátér. Ít ís cóldér—áñd thé bág héávíér—tháñ éxpéctéd.áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡áé⟧
message.swim.exit	육지 복귀. 땅이 이렇게 믿음직스러울 줄은 몰랐다.	Back on land. The ground has never felt so dependable.	⟦Báck óñ láñd. Thé gróúñd hás ñévér félt só dépéñdáblé.áéíóúüñ¿¡áéíóúüñ¿¡áéí⟧
message.gather.need_swim	저 물건은 물에 떠 있다. 발만 담가서는 닿지 않는다.	That item is floating. Wet feet alone will not reach it.	⟦Thát ítém ís flóátíñg. Wét féét álóñé wíll ñót réách ít.áéíóúüñ¿¡áéíóúüñ¿¡áéíó⟧
message.bag.full	가방이 꽉 찼다. 하나를 버려야 새 물건을 챙길 수 있다.	The bag is full. Discard something to take the new item.	⟦Thé bág ís fúll. Díscárd sóméthíñg tó táké thé ñéw ítém.áéíóúüñ¿¡áéíóúüñ¿¡áéíó⟧
message.gather.water	파도와 씨름해 {0}을(를) 건졌다. 체력도 같이 떠내려갔다.	Mr. Kim wrestled {0} from the waves. Some energy drifted away with it.	⟦Mr. Kím wréstléd {0} fróm thé wávés. Sómé éñérgy dríftéd áwáy wíth ít.áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡⟧
message.gather.axe	돌도끼가 활약했다. 나무를 하나 더 챙겼다.	The stone axe delivered. One extra wood came along.	⟦Thé stóñé áxé délívéréd. Óñé éxtrá wóód cámé álóñg.áéíóúüñ¿¡áéíóúüñ¿¡á⟧
message.gather.land	{0}을(를) 챙겼다.	Collected {0}.	⟦Cólléctéd {0}.áéíó⟧
message.bag.empty_fill	빈칸에 물건을 넣었다.	Placed the item in an empty slot.	⟦Plácéd thé ítém íñ áñ émpty slót.áéíóúüñ¿¡áéí⟧
message.bag.replace	{0}을(를) 두고 새 물건을 챙겼다.	Left {0} behind and took the new item.	⟦Léft {0} béhíñd áñd tóók thé ñéw ítém.áéíóúüñ¿¡áéíóú⟧
message.bag.discard	{0}은(는) 아쉽지만 두고 간다.	Regrettably, {0} stays behind.	⟦Régréttábly, {0} stáys béhíñd.áéíóúüñ¿¡áé⟧
message.bag_upgrade.camp	가방 확장은 베이스캠프에서만 할 수 있다.	The bag can only be upgraded at base camp.	⟦Thé bág cáñ óñly bé úpgrádéd át básé cámp.áéíóúüñ¿¡áéíóúüñ⟧
message.bag_upgrade.workbench	가방을 확장하려면 먼저 작업대가 필요하다.	A workbench is required before upgrading the bag.	⟦A wórkbéñch ís réqúíréd béfóré úpgrádíñg thé bág.áéíóúüñ¿¡áéíóúüñ¿¡á⟧
message.bag_upgrade.materials	나무와 표류물이 부족하다. 현재 나무 {0}/2, 표류물 {1}/1.	Wood and salvage are short. Current: Wood {0}/2, Salvage {1}/1.	⟦Wóód áñd sálvágé áré shórt. Cúrréñt: Wóód {0}/2, Sálvágé {1}/1.áéíóúüñ¿¡áéíóúüñ¿¡áéíóúü⟧
message.bag_upgrade.wood	가방 확장용 나무가 부족하다. 현재 {0}/2.	Not enough wood for the bag upgrade. Current: {0}/2.	⟦Ñót éñóúgh wóód fór thé bág úpgrádé. Cúrréñt: {0}/2.áéíóúüñ¿¡áéíóúüñ¿¡áé⟧
message.bag_upgrade.salvage	가방 확장용 표류물이 부족하다. 현재 {0}/1.	Not enough salvage for the bag upgrade. Current: {0}/1.	⟦Ñót éñóúgh sálvágé fór thé bág úpgrádé. Cúrréñt: {0}/1.áéíóúüñ¿¡áéíóúüñ¿¡áéí⟧
message.bag_upgrade.success	가방 확장 완료. 이제 여섯 칸을 채울 걱정이 생겼다.	Bag upgrade complete. Mr. Kim now has six slots to worry about filling.	⟦Bág úpgrádé cómplété. Mr. Kím ñów hás síx slóts tó wórry ábóút fíllíñg.áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡á⟧
message.bag_upgrade.complete	가방은 이미 6칸으로 확장했다. 두 번 꿰맨다고 더 늘지는 않는다.	The bag already has 6 slots. Stitching it twice will not make it larger.	⟦Thé bág álréády hás 6 slóts. Stítchíñg ít twícé wíll ñót máké ít lárgér.áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡á⟧
message.return.forced	해가 져서 뛰어 돌아왔다. 게 한 마리가 끝까지 응원했다. 아마도.	He ran back after sunset. A crab cheered the whole way. Probably.	⟦Hé ráñ báck áftér súñsét. A cráb chééréd thé whólé wáy. Próbábly.áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ⟧
message.return.safe	무사 귀환. 가방은 무겁고 김씨의 표정은 가볍지 않다.	Safe return. The bag is heavy, and Mr. Kim's expression is not light.	⟦Sáfé rétúrñ. Thé bág ís héávy, áñd Mr. Kím's éxpréssíóñ ís ñót líght.áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡⟧
message.endday.search	수색을 마쳐야 오늘을 정산할 수 있다.	Finish the expedition before settling the day.	⟦Fíñísh thé éxpédítíóñ béfóré séttlíñg thé dáy.áéíóúüñ¿¡áéíóúüñ¿⟧
message.day.start	{0}일차 아침. 김씨는 아직도 섬이고, 섬도 아직 김씨다.	Morning of day {0}. Mr. Kim is still on the island, and the island still has Mr. Kim.	⟦Mórñíñg óf dáy {0}. Mr. Kím ís stíll óñ thé ísláñd, áñd thé ísláñd stíll hás Mr. Kím.áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ⟧
message.rope.blocked	숲이 너무 빽빽하다. 밧줄을 만들면 넘어갈 방법이 생길 것 같다.	The forest is too dense. A rope might provide a way through.	⟦Thé fórést ís tóó déñsé. A rópé míght próvídé á wáy thróúgh.áéíóúüñ¿¡áéíóúüñ¿¡áéíóú⟧
message.barrier.axe_blocked	덩굴과 나무가 길을 막는다. 돌도끼로 장벽을 제거해야 한다.	Vines and wood block the path. Clear the barrier with a stone axe.	⟦Víñés áñd wóód blóck thé páth. Cléár thé bárríér wíth á stóñé áxé.áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿⟧
message.nothing_near	손을 뻗어 봤지만 잡히는 건 공기뿐이다.	He reaches out and catches only air.	⟦Hé réáchés óút áñd cátchés óñly áír.áéíóúüñ¿¡áéíó⟧
result.title.rescued	구조 성공!	Rescue Successful!	⟦Réscúé Súccéssfúl!áéíóúü⟧
result.title.exhausted	김씨, 잠시 누움	Mr. Kim Needs a Lie-Down	⟦Mr. Kím Ñééds á Líé-Dówñáéíóúüñ¿⟧
result.title.deadline	구조 신호 미완성	Rescue Signal Incomplete	⟦Réscúé Sígñál Íñcómplétéáéíóúüñ¿⟧
result.detail.rescued	급조 안테나가 기적처럼 작동했다. 김씨는 구조대보다 먼저 사진부터 찍었다.	The improvised antenna worked by a miracle. Mr. Kim took a photo before the rescuers arrived.	⟦Thé ímpróvíséd áñtéññá wórkéd by á míráclé. Mr. Kím tóók á phótó béfóré thé réscúérs árrívéd.áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡á⟧
result.detail.exhausted	체력을 모두 소진했다. 다음에는 먹고 쉬고, 해 지기 전에 돌아오자.	All energy is gone. Next time, eat, rest, and return before sunset.	⟦Áll éñérgy ís góñé. Ñéxt tímé, éát, rést, áñd rétúrñ béfóré súñsét.áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿⟧
result.detail.deadline	3일 안에 구조 신호를 완성하지 못했다. 필요한 표류물과 밧줄을 더 일찍 준비해야 한다.	The rescue signal was not completed within 3 days. Prepare salvage and rope earlier next time.	⟦Thé réscúé sígñál wás ñót cómplétéd wíthíñ 3 dáys. Prépáré sálvágé áñd rópé éárlíér ñéxt tímé.áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡á⟧
dev.fallback_probe	한국어 폴백 확인		
controls.module_preview.keyboard_mouse	{0} · A/D 또는 ←/→ 후보 순환 · Enter/클릭 확정 · Esc/우클릭 취소	{0} · A/D or ←/→ cycle · Enter/click confirm · Esc/right-click cancel	⟦{0} · A/D ór ←/→ cyclé · Enter/clíck cóñfírm · Esc/ríght-clíck cáñcéláéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡⟧
controls.module_preview.gamepad	{0} · 왼쪽 스틱 후보 순환 · A 확정 · B 취소	{0} · Left stick cycle · A confirm · B cancel	⟦{0} · Léft stíck cyclé · A cóñfírm · B cáñcéláéíóúüñ¿¡áéíóúüñ¿⟧
structure.storage_planning	창고·증축 계획 지점	Storage & expansion planning point	⟦Stórágé & éxpáñsíóñ pláññíñg póíñtáéíóúüñ¿¡áéí⟧
structure.module_connector	{0} 출입 연결부	{0} entrance connector	⟦{0} éñtráñcé cóññéctóráéíóúüñ⟧
camp.popup.detail.storage	현장의 작은 계획 지점이다. 일반 설비를 옮기거나 방 모듈 후보를 미리 본다.	A small on-site planning point. Move general facilities or preview room-module candidates.	⟦A smáll óñ-síté pláññíñg póíñt. Móvé géñérál fácílítíés ór prévíéw róóm-módúlé cáñdídátés.áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡⟧
button.module.preview	방 모듈 증축 미리보기	Preview room expansion	⟦Prévíéw róóm éxpáñsíóñáéíóúüñ⟧
button.module.preview.complete	방 모듈 증축 완료	Room expansion complete	⟦Róóm éxpáñsíóñ cómplétéáéíóúüñ¿⟧
module.name.upper	위층 방	Upper room	⟦Úppér róómáé⟧
module.name.side	옆방	Side room	⟦Sídé róómáé⟧
module.name.basement	지하실	Basement	⟦Báséméñtá⟧
module.preview.summary	{0} · 증축 후보\n{1}\n{2}\n{3}	{0} · Expansion preview\n{1}\n{2}\n{3}	⟦{0} · Éxpáñsíóñ prévíéw\n{1}\n{2}\n{3}áéíóúüñ¿¡áéíóú⟧
module.geometry.valid	연결 슬롯·겹침·지형·필수 통로: 유효	Connection, overlap, terrain, required path: valid	⟦Cóññéctíóñ, óvérláp, térráíñ, réqúíréd páth: válídáéíóúüñ¿¡áéíóúüñ¿¡á⟧
module.geometry.noconnectionslot	연결 슬롯 불일치	No matching connection slot	⟦Ñó mátchíñg cóññéctíóñ slótáéíóúüñ¿¡⟧
module.geometry.overlap	기존 방과 겹침	Overlaps an existing room	⟦Óvérláps áñ éxístíñg róómáéíóúüñ¿¡⟧
module.geometry.terrainblocked	지형이 후보 공간을 막음	Terrain blocks the candidate	⟦Térráíñ blócks thé cáñdídátéáéíóúüñ¿¡á⟧
module.geometry.pathblocked	출입 연결부 또는 필수 이동 통로 차단	Entrance connector or required path is blocked	⟦Éñtráñcé cóññéctór ór réqúíréd páth ís blóckédáéíóúüñ¿¡áéíóúüñ¿⟧
module.economy.costunset	비용 데이터가 없어 확정 불가	Cannot commit: cost data is missing	⟦Cáññót cómmít: cóst dátá ís míssíñgáéíóúüñ¿¡áéíó⟧
module.economy.locked	작업대 필요	Workbench required	⟦Wórkbéñch réqúírédáéíóúü⟧
module.economy.short	자원 부족 · 필요 나무 {0}, 돌 {1}, 표류물 {2}	Resources short · Need Wood {0}, Stone {1}, Salvage {2}	⟦Résóúrcés shórt · Ñééd Wóód {0}, Stóñé {1}, Sálvágé {2}áéíóúüñ¿¡áéíóúüñ¿¡áéí⟧
module.economy.ready	확정 가능 · 필요 나무 {0}, 돌 {1}, 표류물 {2}	Ready · Need Wood {0}, Stone {1}, Salvage {2}	⟦Réády · Ñééd Wóód {0}, Stóñé {1}, Sálvágé {2}áéíóúüñ¿¡áéíóúüñ¿⟧
module.economy.prototypelimit	수직 슬라이스 한도: 이미 방 모듈 1개 확정	Vertical-slice limit: one module already committed	⟦Vértícál-slícé límít: óñé módúlé álréády cómmíttédáéíóúüñ¿¡áéíóúüñ¿¡á⟧
module.economy_badge.costunset	비용 미설정	Cost unset	⟦Cóst úñsétáé⟧
module.economy_badge.locked	해금 조건 잠김	Unlock locked	⟦Úñlóck lóckédáéí⟧
module.economy_badge.short	자원 부족	Resources short	⟦Résóúrcés shórtáéíó⟧
module.economy_badge.ready	자원 충분	Resources ready	⟦Résóúrcés réádyáéíó⟧
module.economy_badge.prototypelimit	1개 확정 한도	One-module limit	⟦Óñé-módúlé límítáéíóú⟧
module.cost.provisional	확정 비용 · 나무 {0} + 돌 {1} + 표류물 {2}	Locked cost · Wood {0} + Stone {1} + Salvage {2}	⟦Lóckéd cóst · Wóód {0} + Stóñé {1} + Sálvágé {2}áéíóúüñ¿¡áéíóúüñ¿¡⟧
module.commit.notpreviewing	열린 증축 미리보기가 없다.	No expansion preview is open.	⟦Ñó éxpáñsíóñ prévíéw ís ópéñ.áéíóúüñ¿¡á⟧
module.commit.invalidgeometry	연결·겹침·지형·필수 통로 조건을 먼저 해결해야 한다.	Resolve connection, overlap, terrain, and required-path conditions first.	⟦Résólvé cóññéctíóñ, óvérláp, térráíñ, áñd réqúíréd-páth cóñdítíóñs fírst.áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡áé⟧
module.commit.costunset	비용 데이터가 없어 확정하지 않았다.	Cost data is missing; nothing was committed.	⟦Cóst dátá ís míssíñg; ñóthíñg wás cómmíttéd.áéíóúüñ¿¡áéíóúüñ⟧
module.commit.locked	작업대를 먼저 건설해야 방을 확정할 수 있다.	Build the workbench before committing a room.	⟦Búíld thé wórkbéñch béfóré cómmíttíñg á róóm.áéíóúüñ¿¡áéíóúüñ¿⟧
module.commit.short	증축 자원이 부족하다. 실패한 확정에는 자원을 쓰지 않았다.	Not enough expansion resources. A failed commit spent nothing.	⟦Ñót éñóúgh éxpáñsíóñ résóúrcés. A fáíléd cómmít spéñt ñóthíñg.áéíóúüñ¿¡áéíóúüñ¿¡áéíóúü⟧
module.commit.prototypelimit	이번 수직 슬라이스에서는 방 모듈 하나만 확정할 수 있다.	Only one room module can be committed in this vertical slice.	⟦Óñly óñé róóm módúlé cáñ bé cómmíttéd íñ thís vértícál slícé.áéíóúüñ¿¡áéíóúüñ¿¡áéíóúü⟧
module.commit.duplicatesubmit	이미 처리 중인 확정 입력이다. 자원을 다시 쓰지 않았다.	That commit is already being processed. No resources were spent twice.	⟦Thát cómmít ís álréády béíñg prócésséd. Ñó résóúrcés wéré spéñt twícé.áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡⟧
module.commit.succeeded	방 모듈 증축이 완료됐다.	Room expansion complete.	⟦Róóm éxpáñsíóñ cómplété.áéíóúüñ¿⟧
module.message.cancelled	증축 미리보기를 취소했다. 캠프 상태는 그대로다.	Expansion preview cancelled. Camp state is unchanged.	⟦Éxpáñsíóñ prévíéw cáñcélléd. Cámp státé ís úñcháñgéd.áéíóúüñ¿¡áéíóúüñ¿¡áé⟧
module.message.committed	{0} 증축 완료. 자원은 한 번만 사용했다.	{0} committed. Resources were spent exactly once.	⟦{0} cómmíttéd. Résóúrcés wéré spéñt éxáctly óñcé.áéíóúüñ¿¡áéíóúüñ¿¡á⟧
module.message.entered	{0}(으)로 연결 통로를 따라 이동했다.	Entered the {0} through its connector.	⟦Éñtéréd thé {0} thróúgh íts cóññéctór.áéíóúüñ¿¡áéíóú⟧
module.message.returned	{0}에서 시작 방으로 돌아왔다.	Returned from the {0} to the starting room.	⟦Rétúrñéd fróm thé {0} tó thé stártíñg róóm.áéíóúüñ¿¡áéíóúüñ⟧
world.module.planning	설비·증축 계획	Facilities · Expansion	⟦Fácílítíés · Éxpáñsíóñáéíóúüñ⟧
world.module.room	{0} · placeholder 실내	{0} · Placeholder interior	⟦{0} · Plácéhóldér íñtéríóráéíóúüñ¿¡⟧
world.module.preview.valid	◇ {0} · {2}\n{1}	◇ {0} · {2}\n{1}	⟦◇ {0} · {2}\n{1}áéíóú⟧
world.module.preview.invalid	× {0} · {2}\n{1}	× {0} · {2}\n{1}	⟦× {0} · {2}\n{1}áéíóú⟧
